ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.227,336.9,.676
6.0,.283,407.1,.646
8.0,.320,446.7,.621
10.0,.344,468.4,.597
12.0,.362,481.4,.577
14.0,.376,488.0,.557
16.0,.387,490.3,.539
18.0,.396,489.5,.521
20.0,.403,486.2,.504
22.0,.408,481.1,.487
24.0,.412,474.6,.471
26.0,.415,467.0,.456
28.0,.417,458.3,.440
30.0,.418,448.8,.425
32.0,.419,438.6,.410
34.0,.419,428.0,.395
36.0,.419,417.0,.381
38.0,.418,405.5,.366
40.0,.417,393.7,.352
42.0,.416,381.7,.338
