ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.224,320.3,.665
6.0,.281,387.3,.634
8.0,.318,424.2,.608
10.0,.342,444.2,.585
12.0,.360,455.2,.563
14.0,.374,460.1,.543
16.0,.384,461.0,.523
18.0,.392,458.9,.505
20.0,.399,454.6,.487
22.0,.403,448.5,.470
24.0,.407,441.1,.453
26.0,.409,432.7,.437
28.0,.411,423.3,.421
30.0,.411,413.0,.405
32.0,.411,402.2,.389
34.0,.410,390.9,.374
36.0,.409,379.2,.358
38.0,.407,367.1,.343
40.0,.405,354.7,.329
42.0,.402,342.1,.314
