ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.220,288.7,.642
6.0,.277,348.2,.610
8.0,.312,378.3,.581
10.0,.335,393.7,.555
12.0,.352,400.6,.532
14.0,.365,402.2,.509
16.0,.374,400.2,.488
18.0,.381,395.6,.468
20.0,.386,389.1,.449
22.0,.389,381.1,.430
24.0,.391,372.0,.412
26.0,.392,361.9,.394
28.0,.391,351.0,.376
30.0,.389,339.3,.359
32.0,.387,327.0,.341
34.0,.384,314.3,.324
36.0,.379,301.2,.308
38.0,.374,287.7,.291
40.0,.368,273.9,.274
42.0,.362,259.8,.258
