ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.209,237.8,.593
6.0,.260,288.8,.561
8.0,.292,314.2,.532
10.0,.313,326.5,.505
12.0,.328,331.3,.481
14.0,.338,331.1,.457
16.0,.345,327.7,.435
18.0,.350,322.0,.414
20.0,.352,314.4,.394
22.0,.353,305.2,.374
24.0,.352,295.0,.354
26.0,.349,283.8,.335
28.0,.345,271.6,.316
30.0,.339,258.7,.296
32.0,.332,245.0,.277
34.0,.324,230.6,.258
36.0,.314,215.7,.239
38.0,.302,199.9,.220
40.0,.288,183.3,.200
42.0,.272,165.8,.180
