ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.207,248.6,.603
6.0,.257,301.7,.571
8.0,.289,333.5,.546
10.0,.312,351.4,.523
12.0,.327,360.6,.502
14.0,.339,364.0,.481
16.0,.347,363.6,.461
18.0,.353,360.3,.442
20.0,.356,354.7,.423
22.0,.358,347.4,.404
24.0,.359,338.6,.386
26.0,.358,328.6,.368
28.0,.355,317.5,.350
30.0,.352,305.4,.332
32.0,.347,292.3,.314
34.0,.340,278.3,.296
36.0,.333,263.5,.277
38.0,.323,247.6,.259
40.0,.312,230.4,.239
42.0,.299,211.9,.219
