ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.206,252.9,.607
6.0,.256,308.4,.576
8.0,.288,335.8,.548
10.0,.310,356.6,.527
12.0,.326,368.2,.507
14.0,.338,373.7,.487
16.0,.346,374.9,.468
18.0,.352,373.1,.450
20.0,.356,368.6,.432
22.0,.359,362.3,.414
24.0,.360,354.3,.397
26.0,.359,345.1,.379
28.0,.357,334.5,.362
30.0,.354,322.7,.344
32.0,.350,309.7,.327
34.0,.344,295.8,.309
36.0,.337,280.8,.290
38.0,.328,264.5,.271
40.0,.317,246.7,.252
42.0,.304,227.0,.231
