ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.208,243.5,.598
6.0,.258,292.9,.564
8.0,.291,322.0,.538
10.0,.312,337.2,.513
12.0,.328,344.3,.490
14.0,.338,346.0,.468
16.0,.346,344.2,.447
18.0,.351,339.7,.427
20.0,.354,333.2,.408
22.0,.355,325.0,.388
24.0,.355,315.5,.369
26.0,.353,304.9,.351
28.0,.350,293.3,.332
30.0,.346,280.8,.314
32.0,.340,267.4,.295
34.0,.332,253.3,.277
36.0,.324,238.4,.258
38.0,.313,222.5,.239
40.0,.301,205.6,.219
42.0,.286,187.4,.199
