ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.222,304.3,.654
6.0,.278,367.6,.622
8.0,.313,400.1,.595
10.0,.337,418.0,.570
12.0,.355,426.9,.547
14.0,.368,430.1,.526
16.0,.378,429.5,.506
18.0,.385,426.1,.487
20.0,.391,420.6,.468
22.0,.395,413.5,.450
24.0,.397,405.2,.432
26.0,.399,395.8,.415
28.0,.399,385.6,.398
30.0,.399,374.5,.382
32.0,.397,362.8,.365
34.0,.395,350.7,.349
36.0,.392,338.2,.333
38.0,.389,325.3,.317
40.0,.385,312.0,.301
42.0,.380,298.5,.285
