ПИК,КПДЕ,НЕ,ФИ
-,-,kДж/kг,-
4.0,.230,353.9,.687
6.0,.286,427.3,.657
8.0,.323,469.7,.632
10.0,.350,496.0,.611
12.0,.368,510.1,.591
14.0,.383,518.4,.572
16.0,.394,522.2,.554
18.0,.403,522.7,.537
20.0,.410,520.7,.521
22.0,.416,516.8,.505
24.0,.421,511.3,.490
26.0,.425,504.7,.475
28.0,.428,497.0,.460
30.0,.430,488.4,.446
32.0,.432,479.2,.431
34.0,.433,469.4,.417
36.0,.434,459.4,.404
38.0,.434,448.8,.390
40.0,.435,438.1,.377
42.0,.435,427.3,.363
